Join Date,Name,Completed
"Jun 5, 2020, 4:50:33 PM",June 5K,true
"Jun 10, 2020, 7:23:22 AM",June 10K,true
"Jun 19, 2020, 11:36:30 PM",June Run Climbing Challenge,false
"Jun 29, 2020, 11:04:02 AM",July Running Challenge,false
"Jul 1, 2020, 6:02:49 AM",July 5K,true
"Jul 1, 2020, 6:02:51 AM",July 10K,false
"Sep 11, 2020, 8:30:59 AM",September 5K,true
"Sep 11, 2020, 8:31:05 AM",September 10K,false
"Sep 11, 2020, 8:31:23 AM",September Running Challenge,false
"Oct 25, 2020, 1:29:58 PM",October 10K,false
"Nov 2, 2020, 6:42:09 PM",November Running Challenge,false
"Nov 2, 2020, 6:42:25 PM",November 5K,true
"Nov 2, 2020, 6:42:27 PM",November 10K,false
"Dec 31, 2020, 7:20:10 PM",January Running Challenge,true
"Jan 2, 2021, 4:20:05 PM",January Fresh Start Challenge,false
"Jan 2, 2021, 4:20:46 PM",January 5K,true
"Jan 3, 2021, 5:58:42 PM",January 10K,true
"Jan 4, 2021, 5:14:24 PM",Runderwear 10k in 10 Days,true
"Jan 4, 2021, 7:21:30 PM",January Half Marathon,false
"Jan 5, 2021, 11:49:17 AM",SKINS Compression 110 Challenge,true
"Jan 7, 2021, 1:25:21 PM",TRIBE Plant Power 60,true
"Jan 11, 2021, 12:37:14 AM",Le Col Project 21 Challenge,true
"Jan 11, 2021, 12:37:28 AM","Wiggle X Garmin New Year, New PBs!",false
"Jan 28, 2021, 9:33:47 AM",February Running Challenge,false
"Jan 28, 2021, 9:33:49 AM",February 5K,true
"Jan 28, 2021, 9:33:50 AM",February 10K,false
"Feb 23, 2021, 8:46:10 AM",March 10K,false
"Feb 23, 2021, 8:46:13 AM",March 5K,true
"Mar 6, 2021, 11:31:06 AM",March Walk Challenge,false
"Mar 6, 2021, 11:31:35 AM",March Running Challenge,false
"Mar 24, 2021, 12:44:45 AM",Run the Month for Prostate Cancer UK,false
