Follower Athlete ID,Follow Status,Created At
52300223,Accepted,"Apr 1, 2020, 6:10:37 PM"
48211854,Accepted,"Apr 1, 2020, 6:13:33 PM"
44796213,Accepted,"Apr 13, 2020, 1:40:33 AM"
32343816,Accepted,"May 6, 2020, 4:23:46 PM"
56322674,Accepted,"Jun 3, 2020, 9:14:57 AM"
52236600,Accepted,"Jun 6, 2020, 1:11:24 PM"
64398396,Accepted,"Jul 21, 2020, 8:36:12 PM"
29144507,Accepted,"Jul 28, 2020, 6:59:11 PM"
60952595,Accepted,"Aug 19, 2020, 5:21:55 PM"
54935975,Accepted,"Aug 23, 2020, 3:59:21 PM"
60114720,Accepted,"Aug 26, 2020, 11:42:15 AM"
65553248,Accepted,"Aug 27, 2020, 2:01:22 PM"
50056056,Accepted,"Sep 4, 2020, 7:51:53 AM"
65748307,Accepted,"Sep 16, 2020, 6:08:50 PM"
52294059,Accepted,"Nov 12, 2020, 4:49:31 PM"
74513730,Accepted,"Jan 2, 2021, 9:46:17 PM"
42321543,Accepted,"Jan 4, 2021, 6:33:28 PM"
52224461,Accepted,"Jan 6, 2021, 10:38:41 AM"
57576818,Accepted,"Jan 19, 2021, 3:21:16 PM"
54441342,Accepted,"Jan 20, 2021, 9:37:54 PM"
55320734,Accepted,"Mar 2, 2021, 7:48:07 PM"
24263020,Accepted,"Mar 3, 2021, 10:52:21 AM"
55465452,Accepted,"Mar 7, 2021, 6:41:38 PM"
51459925,Accepted,"Mar 18, 2021, 6:28:27 PM"
