Following Athlete ID,Follow Status,Created At
52300223,Accepted,"Apr 1, 2020, 6:10:44 PM"
44796213,Accepted,"Apr 13, 2020, 9:00:26 PM"
48211854,Accepted,"Apr 13, 2020, 9:01:26 PM"
52236600,Accepted,"Apr 13, 2020, 9:01:32 PM"
35043023,Accepted,"Jun 3, 2020, 9:12:41 AM"
56322674,Accepted,"Jun 3, 2020, 9:12:49 AM"
41895948,Accepted,"Jun 7, 2020, 4:16:22 PM"
55320734,Accepted,"Jun 10, 2020, 11:15:09 AM"
55476841,Accepted,"Jun 18, 2020, 3:10:29 PM"
54441342,Accepted,"Jun 23, 2020, 12:35:24 PM"
64398396,Accepted,"Jul 22, 2020, 8:44:54 PM"
29144507,Accepted,"Jul 28, 2020, 6:22:51 PM"
14717658,Accepted,"Jul 28, 2020, 6:23:34 PM"
24263020,Accepted,"Jul 28, 2020, 6:24:01 PM"
52294059,Accepted,"Jul 28, 2020, 6:25:20 PM"
60324620,Accepted,"Jul 28, 2020, 6:25:23 PM"
59103940,Accepted,"Jul 28, 2020, 6:25:29 PM"
60952595,Accepted,"Aug 19, 2020, 5:20:46 PM"
50056056,Accepted,"Sep 3, 2020, 10:24:50 AM"
54935975,Accepted,"Sep 3, 2020, 10:24:54 AM"
65748307,Accepted,"Sep 3, 2020, 10:24:55 AM"
60114720,Accepted,"Sep 6, 2020, 2:45:30 PM"
65553248,Accepted,"Dec 31, 2020, 7:20:13 PM"
32343816,Accepted,"Dec 31, 2020, 7:20:22 PM"
52224461,Accepted,"Jan 2, 2021, 9:43:48 PM"
74513730,Accepted,"Jan 2, 2021, 11:49:58 PM"
42321543,Accepted,"Jan 4, 2021, 8:22:00 PM"
57576818,Accepted,"Jan 5, 2021, 11:49:53 AM"
55465452,Accepted,"Mar 7, 2021, 6:41:48 PM"
51459925,Accepted,"Mar 18, 2021, 6:13:54 PM"
